ObservationId,MediaId,Vote,Content,ClassId,Family,Genus,Species,Author,Date,Location,Latitude,Longitude,YearInCLEF,ObservationId2014,ImageId2014,LearnTag
8713,16,3,Entire,2692,Euphorbiaceae,Euphorbia,Euphorbia cyparissias L.,jean-luc gorremans,2010-5-30,Draveil,48.65762,2.42839,PlantCLEF2014,15674,24219,Train
262,17,3,Flower,1901,Campanulaceae,Campanula,Campanula rhomboidalis L.,john de vos,2011-7-29,Le Petit-Bornand-les-Glières,46.0248,6.45867,PlantCLEF2015,,,Train
32120,18,2.5,Branch,5483,Scrophulariaceae,Verbascum,Verbascum pulverulentum Vill.,genevieve botti,2012-6-25,Amboise,,,ImageCLEF2013,16822,22928,Train
24285,19,4,Fruit,1235,Asteraceae,Staehelina,Staehelina dubia L.,liliane roubaudi,2014-7-2,Gruissan,,,PlantCLEF2015,,,Train
2780,21,2,Branch,9954,Geraniaceae,Erodium,Erodium cicutarium (L.) L'Hér.,cecile garin,2014-5-17,Aix-en-Provence,43.53134,5.42388,PlantCLEF2015,,,Train
40968,22,3,Entire,6535,Orchidaceae,Orchis,Orchis mascula (L.) L.,julien barataud,2008-5-15,Saint-Jean-et-Saint-Paul,,,ImageCLEF2013,7856,23391,Train
3087,23,2,Flower,5148,Salicaceae,Salix,Salix caprea L.,michel pourchet,2006-3-10,Champ-sur-Drac,,,PlantCLEF2014,324,46860,Train
1705,25,3,Stem,3798,Magnoliaceae,Magnolia,Magnolia grandiflora L.,pierre bonnet,2011-3-30,Lattes,,,ImageCLEF2013,9481,43558,Train
20253,26,2.5,Flower,30193,Caprifoliaceae,Knautia,Knautia arvensis (L.) Coult.,audrey maurin,2009-7-11,,49.18398,3.83452,PlantCLEF2014,10380,43231,Train
13413,27,4,LeafScan,8522,Sapindaceae,Acer,Acer campestre L.,pierre bonnet,2010-6-10,Montpellier,43.60818,3.87945,ImageCLEF2011,10842,53441,Train
27523,31,4,Leaf,30129,Rhamnaceae,Frangula,Frangula dodonei Ard.,herve goeau,2013-10-12,Fontainebleau,48.43082,2.63908,PlantCLEF2014,15269,56147,Train
26248,32,2,Entire,8684,Xanthorrhoeaceae,Asphodelus,Asphodelus albus Mill.,marc desquatrevaux,2014-4-26,Lurais,46.68968,0.92636,PlantCLEF2015,,,Train
29475,34,3,Entire,12625,Brassicaceae,Matthiola,Matthiola sinuata (L.) R.Br.,valerie bruneau-querey,2009-7-13,Sauzon,47.32591,-3.23298,ImageCLEF2013,16718,13256,Train
31946,36,2,Branch,1321,Betulaceae,Alnus,Alnus glutinosa (L.) Gaertn.,thierry pernot,1800-1-1,,,,PlantCLEF2014,16335,28538,Train
1878,38,4,LeafScan,5771,Vitaceae,Parthenocissus,Parthenocissus tricuspidata (Siebold & Zucc.) Planch.,alexis joly,2013-8-16,Saint-Georges-d'Orques,43.61017,3.78482,PlantCLEF2014,15736,6315,Train
25818,39,2,Flower,4010,Oxalidaceae,Oxalis,Oxalis corniculata L.,florent beck,2011-6-25,Joinville-le-Pont,48.81667,2.46667,PlantCLEF2015,,,Train
2921,40,4.5,LeafScan,3806,Malvaceae,Althaea,Althaea officinalis L.,liliane roubaudi,2013-7-29,Vendres,,,PlantCLEF2015,,,Train
19035,41,2,Branch,5710,Verbenaceae,Verbena,Verbena officinalis L.,liliane roubaudi,2012-8-30,Le Poujol-sur-Orb,,,ImageCLEF2013,191,13977,Train
35429,44,3,Flower,6253,Amaryllidaceae,Allium,Allium triquetrum L.,daniel mathieu,2007-4-18,Montpellier,,,ImageCLEF2013,11173,5780,Train
2711,46,3,Entire,3806,Malvaceae,Althaea,Althaea officinalis L.,augustin roche,2004-8-29,Montchaton,49.0201,-1.50898,PlantCLEF2015,,,Train
6156,47,4,Branch,4863,Rosaceae,Rosa,Rosa canina L.,julien champ,2013-6-4,Montpellier,,,PlantCLEF2014,13294,30483,Train
27415,48,4,Flower,5905,Cyperaceae,Carex,Carex flacca Schreb.,john de vos,2013-4-11,Montpellier,43.64151,3.84894,PlantCLEF2015,,,Train
28836,49,2,Branch,2950,Fabaceae,Lathyrus,Lathyrus latifolius L.,ebe,2014-6-1,Mazaugues,43.36101,5.90727,PlantCLEF2015,,,Train
472,50,4,LeafScan,30249,Apocynaceae,Nerium,Nerium oleander L.,pierre bonnet,2010-7-7,,43.52872,3.93127,ImageCLEF2011,18717,22606,Train
12369,52,3,Entire,3956,Oleaceae,Olea,Olea europaea L.,liliane roubaudi,2013-4-13,Trans-en-Provence,,,PlantCLEF2014,1078,54387,Train
23250,53,3,LeafScan,2918,Fabaceae,Gleditsia,Gleditsia triacanthos L.,herve goeau,2011-9-6,Montferrier-sur-Lez,43.65146,3.86189,ImageCLEF2012,10792,33353,Train
13423,54,4,Leaf,14920,Violaceae,Viola,Viola riviniana Rchb.,jean-jacques houdre,2013-5-2,Saint-Héand,,,PlantCLEF2014,9152,45071,Train
18698,55,3,Entire,1234,Asteraceae,Sonchus,Sonchus tenerrimus L.,Unknown701,2013-4-4,Montpellier,43.62169,3.85918,PlantCLEF2015,,,Train
14443,56,3,Flower,2872,Fabaceae,Cytisus,Cytisus scoparius (L.) Link,michel pourchet,2006-5-17,Juillac,,,PlantCLEF2014,16591,33275,Train
11108,57,3,Fruit,7288,Pinaceae,Pinus,Pinus sylvestris L.,daniel barthelemy,2010-7-4,Rosier Peyrelaud,,,PlantCLEF2014,14472,10310,Train
7346,58,3,Branch,1914,Campanulaceae,Jasione,Jasione montana L.,laurent chauvel,1800-1-1,Guidel,,,PlantCLEF2015,,,Train
33387,60,3,LeafScan,54,Anacardiaceae,Cotinus,Cotinus coggygria Scop.,annick larbouillat,2011-11-1,Ozoir-la-Ferrière,48.77255,2.65792,ImageCLEF2012,11229,3623,Train
7513,61,3,Leaf,8775,Betulaceae,Betula,Betula utilis D.Don,vera bakic,2012-9-10,Rocquencourt,48.84403,2.3598,ImageCLEF2013,13087,54525,Train
7601,63,4,Flower,1889,Campanulaceae,Campanula,Campanula latifolia L.,genevieve botti,2014-7-11,Italie,,,PlantCLEF2015,,,Train
19554,64,3,Flower,1147,Asteraceae,Jacobaea,Jacobaea adonidifolia (Loisel.) Mérat,paul fabre,2013-7-11,Sablières,,,PlantCLEF2015,,,Train
29013,66,3,LeafScan,1972,Adoxaceae,Viburnum,Viburnum opulus L.,annick larbouillat,2011-10-23,Pontault-Combault,48.78613,2.62331,ImageCLEF2012,7800,51935,Train
26205,67,3,LeafScan,8522,Sapindaceae,Acer,Acer campestre L.,herve goeau,2011-9-6,Montferrier-sur-Lez,43.65146,3.86189,ImageCLEF2013,16019,43684,Train
25133,68,4,LeafScan,3849,Moraceae,Morus,Morus alba L.,daniel barthelemy,2011-10-12,Monferrier,,,ImageCLEF2012,545,3822,Train
23064,69,3.5,Fruit,5570,Solanaceae,Solanum,Solanum dulcamara L.,liliane roubaudi,2013-8-13,Nantua,,,PlantCLEF2014,15019,13840,Train
34896,70,3,Flower,4236,Polygonaceae,Persicaria,Persicaria maculosa Gray,pascal bergeot,2013-8-12,Changé,,,PlantCLEF2015,,,Train
3465,71,3,Flower,1468,Brassicaceae,Alliaria,Alliaria petiolata (M.Bieb.) Cavara & Grande,mathieu menand,2006-3-26,Bruges,,,PlantCLEF2014,11629,53325,Train
491,72,3,Flower,30423,Plantaginaceae,Veronica,Veronica chamaedrys L.,claire sutter,2009-5-2,Fort-Louis,48.80822,8.08928,PlantCLEF2014,16390,7607,Train
30244,73,3,Fruit,4074,Pittosporaceae,Pittosporum,Pittosporum tobira (Thunb.) W.T.Aiton,pierre bonnet,1800-1-1,Palavas-les-Flots,,,PlantCLEF2014,7000,53966,Train
27420,74,2.5,Entire,3288,Fagaceae,Quercus,Quercus ilex L.,herve goeau,2012-4-19,Saint-Nazaire-d'Aude,,,PlantCLEF2014,4297,46516,Train
32636,75,1,Leaf,4948,Rosaceae,Rubus,Rubus pedatifolius Genév.,david mercier,2014-6-8,Espagne,43.33188,-1.76547,PlantCLEF2015,,,Train
14313,77,3,Leaf,1212,Asteraceae,Silybum,Silybum marianum (L.) Gaertn.,pierre bonnet,2013-5-1,Montpellier,,,PlantCLEF2014,6405,16253,Train
41340,78,3,Flower,1842,Buxaceae,Buxus,Buxus sempervirens L.,michel pourchet,2006-3-27,Champ-sur-Drac,,,PlantCLEF2014,798,2329,Train
37911,79,3,Entire,7429,Lycopodiaceae,Diphasiastrum,Diphasiastrum tristachyum (Pursh) Holub,christophe girod,1800-1-1,Chaume des Veaux près du Champ du Feu,,,PlantCLEF2015,,,Train
29777,80,3,Stem,5634,Cannabaceae,Celtis,Celtis australis L.,pierre bonnet,2011-4-23,Lattes,,,ImageCLEF2013,9151,34959,Train
1011,81,4,Flower,3831,Malvaceae,Malva,Malva sylvestris L.,herve goeau,2013-8-21,Saint-Michel-sur-Orge,48.64051,2.30913,PlantCLEF2014,18480,50262,Train
10449,82,3,Leaf,30122,Fagaceae,Fagus,Fagus sylvatica L.,anne verroust,2012-9-10,Rocquencourt,48.83034,2.11229,ImageCLEF2013,18963,7147,Train
2303,84,4,Stem,4742,Rosaceae,Filipendula,Filipendula vulgaris Moench,thierry pernot,1800-1-1,,,,PlantCLEF2015,,,Train
41681,86,3,Leaf,8167,Sapindaceae,Acer,Acer palmatum Thunb.,julien champ,2013-6-1,Saint-Jean-de-Védas,,,PlantCLEF2014,5902,51535,Train
4411,87,5,Flower,1895,Campanulaceae,Campanula,Campanula persicifolia L.,thierry pernot,1800-1-1,,,,PlantCLEF2014,12127,6695,Train
30592,88,3,Stem,3288,Fagaceae,Quercus,Quercus ilex L.,souheil selmi,2012-9-10,Rocquencourt,,,ImageCLEF2013,17216,39703,Train
28036,89,4,Leaf,329,Araliaceae,Hedera,Hedera helix L.,pierre bonnet,2012-3-21,montpellier,,,ImageCLEF2013,3456,37174,Train
2116,90,4,Leaf,30460,Geraniaceae,Geranium,Geranium molle L.,herve goeau,2013-5-19,Besse,,,PlantCLEF2014,4183,40112,Train
3371,91,2,Entire,14563,Asteraceae,Sonchus,Sonchus asper (L.) Hill,laurent lemetais,2014-10-27,Gamaches-en-Vexin,49.26641,1.60119,PlantCLEF2015,,,Train
7554,92,3,Stem,14572,Rosaceae,Sorbus,Sorbus intermedia (Ehrh.) Pers.,anne verroust,2012-9-10,Rocquencourt,48.83034,2.11229,ImageCLEF2013,2870,41841,Train
8092,93,3,Flower,29924,Sapindaceae,Acer,Acer negundo L.,pierre bonnet,2012-3-28,Montpellier,,,ImageCLEF2013,1306,44362,Train
13396,94,2,Entire,30457,Papaveraceae,Fumaria,Fumaria capreolata L.,liliane roubaudi,2012-3-21,Carantec,,,PlantCLEF2015,,,Train
4372,95,3,Leaf,3124,Fabaceae,Robinia,Robinia pseudoacacia L.,pierre bonnet,2010-11-8,Montpellier,,,ImageCLEF2011,4404,13761,Train
17502,96,2,Leaf,4827,Rosaceae,Prunus,Prunus avium (L.) L.,vera bakic,2011-4-21,Rocquencourt,48.84403,2.3598,ImageCLEF2013,9242,9286,Train
13987,97,5,Fruit,2988,Fabaceae,Lotus,Lotus corniculatus L.,bertrand bui,2013-5-15,Martigues,43.39967,5.34849,PlantCLEF2015,,,Train
19350,98,4,LeafScan,1973,Adoxaceae,Viburnum,Viburnum tinus L.,pierre bonnet,2010-7-7,Montpellier,43.60818,3.87945,ImageCLEF2011,4133,1554,Train
23029,99,2,Flower,2724,Euphorbiaceae,Euphorbia,Euphorbia paralias L.,herve goeau,2014-5-3,Treigny,47.52772,3.15879,PlantCLEF2015,,,Train
38075,101,3,Flower,30718,Gentianaceae,Gentiana,Gentiana lutea L.,john de vos,2006-7-5,Mont-Saxonnex,46.0237,6.49125,PlantCLEF2014,13859,21841,Train
33300,102,2,Flower,5311,Plantaginaceae,Chaenorrhinum,Chaenorrhinum minus (L.) Lange,francoise carle,2014-7-22,Saint-Martial,44.84389,4.22,PlantCLEF2015,,,Train
14700,103,1,Branch,661,Asteraceae,Cichorium,Cichorium intybus L.,pierre bonnet,2013-11-28,Montpellier,,,PlantCLEF2014,17382,5333,Train
39107,104,4,Flower,3591,Lamiaceae,Mentha,Mentha spicata L.,herve goeau,2013-8-5,Sainte-Geneviève-des-Bois,48.64647,2.3178,PlantCLEF2014,8527,13899,Train
13428,105,3,Flower,3567,Lamiaceae,Lamium,Lamium maculatum (L.) L.,emmanuel stratmains,2012-4-9,Le Muy,43.45818,6.59686,PlantCLEF2014,7328,22545,Train
9525,106,4,Flower,1102,Asteraceae,Picris,Picris hieracioides L.,alain bigou,2014-8-16,Castelnau-de-Montmiral,44.00857,1.74461,PlantCLEF2015,,,Train
40025,107,2,Branch,4489,Ranunculaceae,Ranunculus,Ranunculus aconitifolius L.,thierry pernot,1800-1-1,,,,PlantCLEF2015,,,Train
27943,109,1,Flower,30388,Caryophyllaceae,Stellaria,Stellaria media (L.) Vill.,jean-luc gorremans,2010-4-10,Athis-Mons,48.70304,2.38058,PlantCLEF2015,,,Train
14269,110,3,Flower,4031,Papaveraceae,Corydalis,Corydalis solida (L.) Clairv.,jean-paul hugbart,2014-3-8,Dracy-le-Fort,46.80012,4.75236,PlantCLEF2015,,,Train
34737,112,3,Flower,1770,Brassicaceae,Raphanus,Raphanus raphanistrum L.,hugues tinguy,2011-7-21,Ploudalmézeau,,,PlantCLEF2014,13188,29546,Train
21731,113,5,Leaf,3806,Malvaceae,Althaea,Althaea officinalis L.,genevieve botti,2013-6-1,Gruissan,43.22236,5.62321,PlantCLEF2015,,,Train
31930,114,3,Branch,14779,Lamiaceae,Teucrium,Teucrium flavum L.,liliane roubaudi,2014-4-6,Saint-Remèze,,,PlantCLEF2015,,,Train
21870,116,2,Flower,187,Apiaceae,Heracleum,Heracleum sphondylium L.,benjamin suze,1800-1-1,,,,PlantCLEF2015,,,Train
26292,117,1,Stem,5537,Simaroubaceae,Ailanthus,Ailanthus altissima (Mill.) Swingle,etudiants supagro,2013-1-22,Montpellier,43.63113,3.89212,PlantCLEF2014,3910,24438,Train
35947,118,1,Leaf,14872,Ulmaceae,Ulmus,Ulmus minor Mill.,thierry pernot,1800-1-1,,,,PlantCLEF2014,16234,30416,Train
17426,119,4,Leaf,1468,Brassicaceae,Alliaria,Alliaria petiolata (M.Bieb.) Cavara & Grande,herve goeau,2013-4-23,Rocquencourt,,,PlantCLEF2014,7959,34248,Train
6279,120,3,Fruit,5098,Rubiaceae,Rubia,Rubia tinctorum L.,liliane roubaudi,2013-9-13,Fleury,,,PlantCLEF2015,,,Train
34361,121,3,Leaf,4739,Rosaceae,Eriobotrya,Eriobotrya japonica (Thunb.) Lindl.,pierre bonnet,2012-11-29,Les Avirons,-21.24064,55.3342,PlantCLEF2015,,,Train
16856,122,4,LeafScan,30040,Fabaceae,Cercis,Cercis siliquastrum L.,pierre bonnet,2010-7-6,Montpellier,43.60818,3.87945,ImageCLEF2011,2364,41361,Train
22692,123,3.5,Fruit,4738,Rosaceae,Potentilla,Potentilla indica (Andrews) F.T.Wolf,mathieu menand,2009-6-15,Madère,,,PlantCLEF2015,,,Train
20192,124,3,Leaf,30057,Fabaceae,Coronilla,Coronilla juncea L.,genevieve botti,2013-4-21,Gémenos,43.31317,5.61683,PlantCLEF2015,,,Train
30502,125,3,Leaf,29939,Betulaceae,Alnus,Alnus cordata (Loisel.) Duby,pierre bonnet,2014-9-25,Amance,48.7513,6.34018,PlantCLEF2015,,,Train
16928,126,1,Fruit,1973,Adoxaceae,Viburnum,Viburnum tinus L.,genevieve botti,2012-12-16,Marseille,,,ImageCLEF2013,18242,29513,Train
13675,127,3,Flower,14887,Scrophulariaceae,Verbascum,Verbascum thapsus L.,julien champ,2012-11-26,St Leu Les brules de St Leu,-21.10527,55.38092,PlantCLEF2015,,,Train
28162,128,3,Entire,3435,Geraniaceae,Geranium,Geranium robertianum L.,alain bigou,2013-8-1,Gavarnie,42.71325,-0.01721,PlantCLEF2014,5883,41713,Train
22614,129,3,Flower,1111,Asteraceae,Pulicaria,Pulicaria dysenterica (L.) Bernh.,jean-jacques houdre,2011-10-21,Jard-sur-Mer,46.42555,-1.59884,PlantCLEF2014,9548,41266,Train
25090,130,4,Fruit,4465,Ranunculaceae,Nigella,Nigella damascena L.,ans gorter,2014-5-24,Province de Cadix,41.67142,-0.25414,PlantCLEF2015,,,Train
36990,131,4,LeafScan,326,Aquifoliaceae,Ilex,Ilex aquifolium L.,pierre bonnet,2010-7-21,Montpellier,43.60818,3.87945,ImageCLEF2011,1701,11142,Train
665,132,2,Entire,6535,Orchidaceae,Orchis,Orchis mascula (L.) L.,hugues haeffner,2013-4-28,Aillières-Beauvoir,48.40146,0.32049,PlantCLEF2014,6687,8279,Train
664,133,4,Flower,576,Asteraceae,Cyanus,Cyanus segetum Hill,herve goeau,2013-6-28,Paris,48.83649,2.0978,PlantCLEF2014,12048,30651,Train
8346,134,3,Leaf,2918,Fabaceae,Gleditsia,Gleditsia triacanthos L.,pierre bonnet,2013-6-21,Montferrier-sur-Lez,43.65167,3.862,PlantCLEF2014,8398,54802,Train
30052,135,3,Branch,1321,Betulaceae,Alnus,Alnus glutinosa (L.) Gaertn.,liliane roubaudi,2012-6-17,La Gravelle,,,ImageCLEF2013,3013,1692,Train
35035,136,1,Stem,4109,Platanaceae,Platanus,Platanus x hispanica Mill. ex Münchh.,liliane roubaudi,2012-3-30,Bourges,,,PlantCLEF2014,6678,21640,Train
24369,137,3,Stem,2584,Caprifoliaceae,Dipsacus,Dipsacus fullonum L.,marie portas,2011-6-15,Lapanouse,44.32345,3.03592,ImageCLEF2013,14397,17260,Train
28225,138,5,Fruit,2918,Fabaceae,Gleditsia,Gleditsia triacanthos L.,pierre bonnet,2011-12-8,Montpellier,,,ImageCLEF2013,3196,50586,Train
18599,140,3,Entire,1914,Campanulaceae,Jasione,Jasione montana L.,laurent petit,2006-8-8,Sizun,,,PlantCLEF2014,11140,7377,Train
6165,141,1,Branch,5148,Salicaceae,Salix,Salix caprea L.,alain bigou,2011-6-11,Listvyanka,51.84999,104.88356,PlantCLEF2014,6834,18671,Train
12114,143,3,Flower,1389,Boraginaceae,Lithodora,Lithodora fruticosa (L.) Griseb.,daniel mathieu,2007-4-17,Prades-le-Lez,,,ImageCLEF2013,2318,43799,Train
17629,144,3,Flower,30131,Oleaceae,Fraxinus,Fraxinus excelsior L.,vera bakic,2012-4-12,Rocquencourt,,,ImageCLEF2013,11937,18608,Train
27321,145,2,Leaf,4228,Polygonaceae,Bistorta,Bistorta officinalis Delarbre,paul fabre,2012-6-8,Saint-Sauveur-Camprieu,44.11158,3.48215,PlantCLEF2015,,,Train
14511,147,2,Leaf,5148,Salicaceae,Salix,Salix caprea L.,claire sutter,2009-5-5,,,,PlantCLEF2014,9157,33847,Train
13376,148,3,Entire,14869,Fabaceae,Ulex,Ulex europaeus L.,jacques marechal,2011-12-18,La Chapelle-Saint-Mesmin,47.87602,1.8145,PlantCLEF2014,17626,37464,Train
13997,149,3,Flower,1914,Campanulaceae,Jasione,Jasione montana L.,mathieu menand,2010-6-11,Pibrac,,,PlantCLEF2014,7940,7705,Train
34998,151,2,Flower,3885,Onagraceae,Epilobium,Epilobium angustifolium L.,alain bigou,2013-8-10,Cauterets,42.83151,-0.14184,PlantCLEF2014,3355,56780,Train
21566,152,3,Flower,30302,Orchidaceae,Pseudorchis,Pseudorchis albida (L.) Á.Löve & D.Löve,didier gachon,2012-6-21,Bouvante,44.88242,5.32644,PlantCLEF2014,4247,3933,Train
12008,153,3,Entire,29926,Sapindaceae,Acer,Acer platanoides L.,thierry pernot,1800-1-1,,,,PlantCLEF2014,11844,34512,Train
319,154,3,Leaf,1325,Betulaceae,Betula,Betula pendula Roth,liliane roubaudi,2013-8-25,Chamonix-Mont-Blanc,,,PlantCLEF2014,5190,2944,Train
15205,155,3,Entire,7305,Cupressaceae,Juniperus,Juniperus oxycedrus L.,genevieve botti,2010-12-31,Marseille,,,PlantCLEF2014,2879,8177,Train
23325,156,3,LeafScan,1972,Adoxaceae,Viburnum,Viburnum opulus L.,annick larbouillat,2011-10-13,La Queue-en-Brie,,,ImageCLEF2012,5347,28963,Train
40977,157,3,Entire,5675,Caprifoliaceae,Valeriana,Valeriana celtica L.,christophe girod,2008-3-25,Les Evettes,,,PlantCLEF2015,,,Train
13300,158,3,Flower,352,Apocynaceae,Vincetoxicum,Vincetoxicum nigrum (L.) Moench,hugues tinguy,2013-6-12,Oppède,,,PlantCLEF2015,,,Train
22326,160,4,LeafScan,30381,Rosaceae,Sorbus,Sorbus aria (L.) Crantz,pierre bonnet,2010-8-14,Montpellier,,,ImageCLEF2011,15222,50106,Train
4658,161,3,Entire,1235,Asteraceae,Staehelina,Staehelina dubia L.,alain bigou,2005-6-28,Saint-Sauveur-la-Vallée,44.61743,1.54175,PlantCLEF2015,,,Train
21176,162,3,Entire,3529,Lamiaceae,Clinopodium,Clinopodium nepeta (L.) Kuntze,gabriel chapuis,2010-7-2,Balogna,42.17767,8.78372,PlantCLEF2015,,,Train
28476,163,4,Leaf,14803,Malvaceae,Tilia,Tilia platyphyllos Scop.,herve goeau,2012-9-10,Rocquencourt,48.84401,2.35995,ImageCLEF2013,9899,15421,Train
20291,164,3,Leaf,3750,Lauraceae,Laurus,Laurus nobilis L.,charlene arnaud,2011-5-26,Montpellier,,,ImageCLEF2012,657,37801,Train
9393,167,2,Leaf,30303,Dennstaedtiaceae,Pteridium,Pteridium aquilinum (L.) Kuhn,florent beck,2013-8-26,Hélette,,,PlantCLEF2014,19337,57429,Train
1976,169,5,LeafScan,329,Araliaceae,Hedera,Hedera helix L.,pierre bonnet,2011-3-21,Montpellier,,,ImageCLEF2012,8904,19309,Train
41294,170,3,Flower,560,Asteraceae,Catananche,Catananche caerulea L.,marie portas,2011-5-24,Saint-Remèze,44.38333,4.5,PlantCLEF2015,,,Train
3203,171,4,LeafScan,30126,Moraceae,Ficus,Ficus carica L.,pierre bonnet,2010-10-8,Montpellier,43.60818,3.87945,ImageCLEF2011,18961,20245,Train
16720,172,4,Flower,513,Asteraceae,Calendula,Calendula arvensis L.,liliane roubaudi,2014-1-1,Vendres,,,PlantCLEF2015,,,Train
38621,173,1,Entire,7280,Pinaceae,Pinus,Pinus mugo Turra,mathieu menand,2007-6-23,Auzat,,,PlantCLEF2014,86,31177,Train
7423,174,3,Stem,3507,Juglandaceae,Pterocarya,Pterocarya fraxinifolia (Poir.) Spach,vera bakic,2012-9-10,Rocquencourt,48.84403,2.3598,ImageCLEF2013,7082,51453,Train
35379,176,3,Fruit,29917,Malvaceae,Tilia,Tilia dasystyla Stev.,bourcier laurence,2012-9-10,Rocquencourt,,,PlantCLEF2014,17902,27055,Train
33480,177,3,Flower,30471,Orchidaceae,Ophrys,Ophrys scolopax Cav.,gregoire duche,2009-5-20,Lauret,,,PlantCLEF2014,6596,27776,Train
8878,178,4,LeafScan,1467,Fabaceae,Albizia,Albizia julibrissin Durazz.,pierre bonnet,2010-10-18,Lattes,,,ImageCLEF2011,12933,1676,Train
25490,179,3,Branch,30737,Adoxaceae,Sambucus,Sambucus racemosa L.,andre merle,2012-9-2,Suisse - Trient,46.07023,6.98029,PlantCLEF2014,18077,27555,Train
6287,180,4,Leaf,4827,Rosaceae,Prunus,Prunus avium (L.) L.,herve goeau,2012-5-29,Meyssiès,48.64546,2.32002,PlantCLEF2014,9723,14713,Train
15454,181,3,Flower,30459,Gentianaceae,Gentiana,Gentiana verna L.,alain bigou,2005-6-12,Eyne,42.89626,0.06362,ImageCLEF2013,18815,49791,Train
40473,182,3,LeafScan,8774,Betulaceae,Betula,Betula pubescens Ehrh.,laetitia goeau,2012-4-22,Rocquencourt,,,ImageCLEF2012,5819,55968,Train
22130,183,3,Flower,3441,Geraniaceae,Geranium,Geranium sylvaticum L.,mathieu menand,2009-5-13,Charmensac,,,ImageCLEF2013,13712,35238,Train
36831,184,4,Leaf,4745,Rosaceae,Fragaria,Fragaria vesca L.,herve goeau,2014-4-20,,46.61396,5.84965,PlantCLEF2015,,,Train
5860,185,4,LeafScan,30056,Cornaceae,Cornus,Cornus sanguinea L.,pierre bonnet,2012-4-17,Montpellier,,,ImageCLEF2013,15255,44586,Train
21231,186,3,Flower,3465,Sapindaceae,Aesculus,Aesculus hippocastanum L.,daniel mathieu,2009-4-29,Montpellier,,,ImageCLEF2013,3761,16817,Train
37919,187,4,Flower,14524,Caryophyllaceae,Silene,Silene latifolia Poir.,daniel mathieu,2007-4-17,Prades-le-Lez,,,PlantCLEF2014,3568,42636,Train
13543,188,3,Fruit,34271,Caprifoliaceae,Carica,Carica papaya L.,liliane roubaudi,1990-4-10,îles Canari,,,PlantCLEF2015,,,Train
24815,189,3,Flower,6079,Iridaceae,Crocus,Crocus nudiflorus Sm.,jean-claude calais,2014-9-28,Marchastel,44.61883,3.09177,PlantCLEF2015,,,Train
40347,190,3,Flower,5394,Plantaginaceae,Misopates,Misopates orontium (L.) Raf.,daniel mathieu,2007-5-13,Saint-Martin-de-l'Arçon,,,PlantCLEF2015,,,Train
37402,192,4,LeafScan,6367,Asparagaceae,Ruscus,Ruscus aculeatus L.,daniel barthelemy,2011-10-11,Puechabon,,,ImageCLEF2012,12632,60617,Train
21858,193,3,Flower,5324,Plantaginaceae,Digitalis,Digitalis purpurea L.,claude figureau,2006-6-3,Coex,,,PlantCLEF2014,4573,58984,Train
4130,194,4,Flower,1047,Asteraceae,Leucanthemum,Leucanthemum vulgare Lam.,herve goeau,2013-6-27,,,,PlantCLEF2014,17852,42464,Train
31596,196,4,Leaf,329,Araliaceae,Hedera,Hedera helix L.,pierre bonnet,2012-3-21,Montpellier,,,ImageCLEF2013,3231,42258,Train
